Date	Precipitation total [mm]	Tritium [pCi/L]	Tritium +-	Sodium-22 [mBq/m3]	Sodium-22 +-	Sulfur-35 [mBq/L]	Sulfur-35 +-
1/7/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/8/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/9/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/10/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/11/2016	256.0	8.3	0.4	153.2	28.8	29.9	1.5
1/12/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/13/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/14/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/15/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/16/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/17/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/18/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/19/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/20/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/21/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/22/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/23/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/24/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/25/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/26/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/27/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/28/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/29/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/30/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
1/31/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/1/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/2/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/3/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/4/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/5/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/6/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/7/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/8/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/9/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/10/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/11/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/12/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/13/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/14/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/15/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/16/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/17/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/18/2016	308.0	9.2	0.4	153.2	28.8	10.6	0.4
2/19/2016	86.0	7.0	0.3	153.2	28.8		
2/20/2016	86.0	7.0	0.3	153.2	28.8		
2/21/2016	86.0	7.0	0.3	153.2	28.8		
2/22/2016	86.0	7.0	0.3	153.2	28.8		
2/23/2016	86.0	7.0	0.3	153.2	28.8		
2/24/2016	86.0	7.0	0.3	153.2	28.8		
2/25/2016	86.0	7.0	0.3	153.2	28.8		
2/26/2016	86.0	7.0	0.3	153.2	28.8		
2/27/2016	86.0	7.0	0.3	153.2	28.8		
2/28/2016	86.0	7.0	0.3	153.2	28.8		
2/29/2016	86.0	7.0	0.3	153.2	28.8		
3/1/2016	86.0	7.0	0.3	153.2	28.8		
3/2/2016	86.0	7.0	0.3	153.2	28.8		
3/3/2016	86.0	7.0	0.3	153.2	28.8		
3/4/2016	86.0	7.0	0.3	153.2	28.8		
3/5/2016	51.0	5.7	0.3	153.2	28.8	10.8	0.7
3/6/2016	103.0	8.4	0.4	153.2	28.8		
3/7/2016	103.0	8.4	0.4	153.2	28.8		
3/8/2016	103.0	8.4	0.4	153.2	28.8		
3/9/2016	103.0	8.4	0.4	153.2	28.8		
3/10/2016	103.0	8.4	0.4	153.2	28.8		
3/11/2016	103.0	8.4	0.4	153.2	28.8		
3/12/2016	103.0	8.4	0.4	153.2	28.8		
3/13/2016	103.0	8.4	0.4	153.2	28.8		
3/14/2016	103.0	8.4	0.4	153.2	28.8		
3/15/2016	103.0	8.4	0.4	153.2	28.8		
3/16/2016	103.0	8.4	0.4	153.2	28.8		
3/17/2016	103.0	8.4	0.4	153.2	28.8		
3/18/2016	103.0	8.4	0.4	153.2	28.8		
3/19/2016	103.0	8.4	0.4	153.2	28.8		
3/20/2016	103.0	8.4	0.4	153.2	28.8		
3/21/2016	103.0	8.4	0.4	153.2	28.8		
3/22/2016	103.0	8.4	0.4	153.2	28.8		
3/23/2016	103.0	8.4	0.4	153.2	28.8		
3/24/2016	103.0	8.4	0.4	153.2	28.8		
3/25/2016	103.0	8.4	0.4	153.2	28.8		
3/26/2016	103.0	8.4	0.4	153.2	28.8		
3/27/2016	103.0	8.4	0.4	153.2	28.8		
3/28/2016	103.0	8.4	0.4	153.2	28.8		
3/29/2016	103.0	8.4	0.4	153.2	28.8		
3/30/2016	103.0	8.4	0.4	153.2	28.8		
3/31/2016	103.0	8.4	0.4	153.2	28.8		
4/1/2016	103.0	8.4	0.4	153.2	28.8		
4/2/2016	103.0	8.4	0.4	153.2	28.8		
4/3/2016	103.0	8.4	0.4	153.2	28.8		
4/4/2016	103.0	8.4	0.4	153.2	28.8		
4/5/2016	103.0	8.4	0.4	153.2	28.8		
4/6/2016	77.0	17.3	0.8	153.2	28.8		
4/7/2016	77.0	17.3	0.8	153.2	28.8		
4/8/2016	77.0	17.3	0.8	153.2	28.8		
4/9/2016	77.0	17.3	0.8	153.2	28.8		
4/10/2016	77.0	17.3	0.8	153.2	28.8		
4/11/2016	77.0	17.3	0.8	153.2	28.8		
4/12/2016	77.0	17.3	0.8	153.2	28.8		
4/13/2016	77.0	17.3	0.8	153.2	28.8		
4/14/2016	77.0	17.3	0.8	153.2	28.8		
4/15/2016	77.0	17.3	0.8	153.2	28.8		
4/16/2016	77.0	17.3	0.8	153.2	28.8		
4/17/2016	77.0	17.3	0.8	153.2	28.8		
